Sewing World Inc.,1724 Mall Circle,,Fort Worth,TX  ,76116,United States,U.S.A,,817-263-0572,,,sewingworldinc@msn.com
Temple Sew & Quilt, 1510 South 31st St,, Temple,Tx ,76504,United States,U.S.A,, (254)774-9797,,,
Sew Vac City Inc,3800 State Hwy 6 South,Suite 100,College Station,TX ,77845,United States,U.S.A,,,,,
Bernina Sew & Quilt, 4300 W. Waco Dr. ,B, Waco,Tx ,76710,United States,U.S.A,, (254)772-2887,,,
Thimbleina LLC,312 County Road 420 ,,Spicewood,TX ,78669,United States,U.S.A,,512-965-0506,,,
Texas Quilt Machines,2311 Sciaaca Road,,Spring,Tx , 77373,United States,U.S.A,"A Suburb of Houston, Texas. Contact Tom and Carrie Dugan",281-793-1777,,,
Lin's Sew & Vac,PO Box 382967,,Duncanville,TX ,75138,United States,U.S.A,,972-780-2739,,,
Ann's Fabrics,235 Turnpike Street,,Canton,MA ,02021,United States,U.S.A,,781-828-2201,,,
Bernina Sewing Center of OK,828 A West Main Street,,Duncan ,OK  ,73533,United States,U.S.A,,580-255-8454,,,
Sewing Machines of Tulsa OK,5008 South Sheridan Road,,Tulsa,OK ,74145,United States,U.S.A,,918-663-2763,,,
The Calico House,5221 So. 48th Street ,Ste. 4,Lincoln, Nebraska ,68516,United States,U.S.A,,402-489-1067,,,
Nuttall’s – American Fork,53 West Main,,American Fork,UT ,84003,United States,U.S.A,,801-756-2223,,,
Nuttall’s - Ivy Place ,4742 South 900 East,,Murray,UT ,84117,United States,U.S.A,,801-262-6665,800-262-7607,,
Nuttall’s - Riverton ,12538 South Doreen Drive (1960 West),,Riverton,UT ,84065,United States,U.S.A,,801-446-7958,,,
Nuttall’s - Sunset ,2465 North Main ,Unit 3,Sunset,UT ,84015,United States,U.S.A,,801-773-6625,,,
Quality Sewing & Vacuums - Ballard Seattle Store,1428 NW 56th St,,Seattle,WA ,98107,United States,U.S.A,,206-782-9400,,,
Quality Sewing & Vacuums - Bellevue Store,14115 NE 20th St.,,Bellevue,WA ,98007,United States,U.S.A,,425-401-5100,,,
Quality Sewing & Vacuums - Bellingham Store, 1125 East Sunset Dr,#120,Bellingham,WA  ,98226,United States,U.S.A,,360-738-8995,1-877-990-0011,,
Quality Sewing & Vacuums - Everett Store,10121 Evergreen Way,,Everett,WA ,98204,United States,U.S.A,,425-290-8000,1-800-488-0458,,
Quality Sewing & Vacuums - Federal Way Store,31653 Pacific Hwy S,,Federal Way,WA ,98003,United States,U.S.A,,253-946-5865,,,
Quality Sewing & Vacuums - Issaquah Store ,1180 NW Gilman Blvd,,Issaquah,WA ,98027,United States,U.S.A,,425-392-9868,,,
Quality Sewing & Vacuums - Kirkland Store,13501 100th Ave NE,,Kirkland,WA ,98034,United States,U.S.A,,425-821-1747,1-800-526-5717,,
Quality Sewing & Vacuums - Mount Vernon Store,426 E College Way,,Mount Vernon,WA ,98273,United States,U.S.A,,360-336-3127,1-800-232-6011,,
Quality Sewing & Vacuums - Northgate Seattle Store,846 NE Northgate Way,,Seattle,WA ,98125,United States,U.S.A,,206-363-1634,,,
Quality Sewing & Vacuums - Puyallup Store,3717B S Meridian St,,Puyallup,WA ,98373,United States,U.S.A,,253-841-4288,,,
Quality Sewing & Vacuums - Silverdale Store,10876 Myhre Place NW,,Silverdale,WA ,98383,United States,U.S.A,,360-692-2992,,,
Quality Sewing & Vacuums - Tacoma Store ,2917 S 38th St,,Tacoma,WA ,98409,United States,U.S.A,,253-471-3899,,,
Quality Sewing & Vacuums - Tukwila Creative Center ,1203 Andover Park W,,Tukwila,WA ,98188,United States,U.S.A,,206-244-5555,1-800-687-5175,,
The Stitching House & Sew Much More LLC,29 S. Kanawha St,,Buckhannon,WV ,26201,United States,U.S.A,,304-472-8188,,http://www.thestitchinghouse.com/,info@thestitchinghouse.com
Oregan Quilt Woman,880 Railroad Ave.,,Ontario,OR ,97914,United States,U.S.A,,541-881-1160,,,quiltwoman@q.com
Klamath Sewing Machines,4535 South 6th Street,,Klamath Falls,OR ,97603,United States,U.S.A,,,,,
Jane's Fabric Patch,1110 Main Ave,,Tillamook,OR ,97141,United States,U.S.A,,503-842-9392, 503-619-6619,,
Montavilla Sewing Centers,4955 SW Western Ave,,Portland,OR,97005,United States,U.S.A,,,,,
Montavilla Sewing Center,8326 SE Stark Street,,Portland,OR ,97216,United States,U.S.A,,,,,
Save Stores,1900 McLoughlin Blvd,#80,Oregon City ,OR  ,97045,United States,U.S.A,,503-655-4414,,,savestores@gmail.com
Quilt Central,1800 Humes Road, Suite 120,Janesville,WI ,53545,United States,U.S.A,,608-758-4377,,,
Quilters On The Go,235 Saint John Rd ,Suite 120,Fletcher,NC ,28732,United States,U.S.A,,,,,
Bayside Stitches,6293 Grapewood Rd,,Spring Hill,FL ,34609,United States,U.S.A,,,,,
Sewphisticated Inc.,3820 N Hwy ,19A,Mt Dora,FL ,32757,United States,U.S.A,,352-483-0082,,,
Unlimited Embroidery & Fabric,2719 Shoreview Court,,Navarre,FL ,32566,United States,U.S.A,,,,,
The Sewing Center of SD,120 Knollwood Drive ,Suite A,Rapid City,SD ,57701,United States,U.S.A,,605-348-1010,,,
Sander's Sew N Vac,111 S Main Street,,Aberdeen,SD ,57401,United States,U.S.A,,605-225-4203,,,
Quilter's Headquarters,3705 S Grange Ave,,Sioux Falls,SD ,57105,United States,U.S.A,,605-334-1611,,,
Missouri Country Quilts,23101 Hwy 98,,Boonville,MO ,65233,United States,U.S.A,,,,,
Sewing Products Company,50304 Schoenherr Rd,,Shelby Township,MI ,48315,United States,U.S.A,,586-566-4500,,,
Bonnie's Sewing Center,3557 Wilder Road,,Bay City,MI ,48706,United States,U.S.A,,,,,
Sewtown Central Sewing,3030 Glen Flora Way,,Fort Smith,AR ,72908,United States,U.S.A,,479-452-3256,,,
Sew Vac Sales and Service,111 Jack White Dr., #7,Kingsport, TN ,37664,United States,U.S.A,,423-246-4520,,,
Guarantee Vacuum & Sewing Center,702 South Reed Road,,Kokomo,IN ,46901,United States,U.S.A,,765-452-0044,,,
Inspired To Sew Pine Needles,1000 Old Marion Road NE,,Cedar Rapids,IA ,52402,United States,U.S.A,,319-373-0334,,,
Blue Willow Mercantile,3311 S Hwy 27 ,Suite 4,Somerset, KY ,42501,United States,U.S.A,,630-945-6590,,,
Windy City Sewing Center,1213 Butterfield Road,,Wheaton,IL ,60189,United States,U.S.A,,630-868-3833,,,
Precision Sewing Machine COII,3997 Hwy 190 Service Road,,Covington,LA ,70433,United States,U.S.A,,985-249-6156,,,
All Brands,20415 Highland Road,,Baton Rouge, LA ,70817,United States,U.S.A,,,,,
Home Sewing Center,1901 S. 12th Street,,Allentown,PA ,18103,United States,U.S.A,,,,,
