Ben Franklin Crafts,812-944-1215,Ben Franklin Crafts,420 New Albany Plaza,New Albany,IN,47150,United States,U.S.A
Big Fly Sports,,Big Fly Sports,60 Metro Way,Secaucus,NJ,7094,United States,U.S.A
Birdsong Quilting & Crafts,859-806-5963,Birdsong Quilting & Crafts,108 Jolomic Lane,Georgetown,KY,40324,United States,U.S.A
Blessing Quilt Shop,636-474-3007,Blessing Quilt Shop,15419  Cousteau Drive,Florissant,MO,63034,United States,U.S.A
Bob's Bernina Sewing & Vacuum,785-842-1595,Bob's Bernina Sewing & Vacuum,2449 B Iowa Street,Lawrence,KS,66046,United States,U.S.A
BOB'S SEWING AND VAC CENTER,505-897-9782,BOB'S SEWING AND VAC CENTER,1641 Ubank  NE,Albuquerque,NM,87112,United States,U.S.A
Bonnie's Sewing Center,989-686-8180,Bonnie's Sewing Center,3557 Wilder Road,Bay City,MI,48706,United States,U.S.A
Brewer Sewing Supplies,,Brewer Quilting & Sewing Supplies,3702 Prairie Lake Court,Aurora,IL,60504,United States,U.S.A
Broadbent's quilt Shop,801-768-9201,Broadbent's quilt Shop,128 N. 100 E.,Lehi,UT,84043,United States,U.S.A
B-Sew Inn,918-687-5762 ex 113,B-Sew Inn,2530 Chandler Road,Muskogee,OK,74403,United States,U.S.A
Buttons 'N' Bows,281-496-0170,Buttons 'N' Bows,14763 Cindywood,Houston,TX,77079,United States,U.S.A
CALICO GALS,315-445-0617,Calico Gals,3906 New Court Ave,Syracuse,NY,13206,United States,U.S.A
Calico House,402-489-1067,Calico House,5221 S. 48th #4,Lincoln ,NE,68516,United States,U.S.A
Calico Mermaid,559-793-2510,Calico Mermaid,122 N Main Street,Porterville,CA,93257,United States,U.S.A
Candy's Quilted Creations / Quilted Bliss,806-359-6235,Candy's Quilted Creations / Quilted Bliss,4332 Tecla Blvd,Amarillo,TX,79109,United States,U.S.A
Canyon Rose Quilt Company,928-289-2800,Canyon Rose Quilt Company LLC,212 W First Street,Winslow,AZ,86047,United States,U.S.A
Caroline's Sewing Room,989-345-9180,Caroline's Sewing Room,3100 West Houghton Ave,West Branch,MI,48661,United States,U.S.A
Cattle Country Quilts,541-432-6669,Cattle Country Quilt Shop,203 N. Main St. #2,Joseph,OR,97846,United States,U.S.A
Central Sewing Centre,619-447-3244,Central Sewing Centre,1125 N 2nd St.,El Cajon,CA,92021,United States,U.S.A
"Charmed Needles, LLC",541-889-6215,"Charmed Needles, LLC",222 S. Oregon St.,Ontario,OR,97914,United States,U.S.A
CHECKER DISTRIBUTORS,,Checker Distributors,400 West Dussel,Maumee,OH,43537,United States,U.S.A
Cindys Unique Designs,817-656-3858,Cindys Unique Designs,4101 Paddington Lane,Colleyville,TX,76034,United States,U.S.A
Clickhere2shop,801-796-2496,Clickhere2shop,881 W. State St. #140-321,Pleasant Grove,UT,84062,United States,U.S.A
Connie's Custom Creations,225-571-8180,Connie's Custom Creations,36569 Swamp Road South,Prairieville,LA,70769,United States,U.S.A
Cotton Candy Quilt Shoppe,765-254-1581,Cotton Candy Quilt Shoppe,5001 N. Wheeling Ave,Muncie,IN,47304,United States,U.S.A
Cotton Weeds Quilt Shop,207-865-4600,Cotton Weeds Quilt Shop,"541 US Rt. #1, Suite #12",Freeport,ME,4032,United States,U.S.A
CRAFTS AMERICANA GROUP,,Crafts Americana Group,1250 Boltonfield Street,Columbus,OH,43228,United States,U.S.A
"CRAFTY QUILTERS, INC",863-658-2148,"CRAFTY QUILTERS, INC",13221 US Hwy 98 S,Sebring,FL,33876,United States,U.S.A
Creative Ideas,858-578-1955,Creative Ideas,14532 Penasquitos Dr,San Diego,CA,92129,United States,U.S.A
Creative Sewing Center,877-331-7862,Creative Sewing Center,11777 West Ave & Blanco Road,San Antonio,TX,78216,United States,U.S.A
"D bar J Quilts, Etc.",660-598-2222,D bar J Quilts,P O Box 48,Rockville,MO,64780,United States,U.S.A
DAINES ENTERPRISES,266-6942,The Cotton Shop,6100 South State Street,Murray,UT,84107,United States,U.S.A
Deb Karasik Fiber Art,415-337-6777,Deb Karasik Fiber Art,1728 Ocean Ave. #222,San Francisco,CA,94112,United States,U.S.A
Derrel's Sewing Center of Pensacola,850-438-5444,Derrel's Sewing Center of Pensacola,"5559 N Davis Hwy, Suite E",Pensacola,FL,32503,United States,U.S.A
"DRG , LP dba Annie's",260-589-4000,"DRG , LP dba Annie's",111 Corparate Drive,Big Sandy,TX,75755,United States,U.S.A
Driven 2 Dristraction,603-382-0654,Driven 2 Dristraction,70 Amesbury Road,Newton,NH,3858,United States,U.S.A
E E Schenck,503-284-4124,E E Schenck,6000 N Cutter Circle,Portland,OR,97217,United States,U.S.A
Edwards Sewing Center,260-486-3003,Edwards Sewing Center,4114 No Clinton Street,Fort Wayne,IN,46805,United States,U.S.A
Ellen's Quilting Corner,319-752-4288,Ellen's Quilting Corner,123 Broadway ST,West Burlington,IA,52655,United States,U.S.A
Embroidery Etcetera,540-382-9290,Embroidery Etcetera,599-A Depot Street,Christiansburg,VA,24073,United States,U.S.A
EZ Knit Fabrics,509 684 2644,EZ Knit Fabrics,165 North Main,Colville,WA,99114,United States,U.S.A
"Fabric Boutique, Inc.- LA",318-742-0047,"Fabric Boutique, Inc. L A","1701 Old Minden Road, Suite 11",Bossier City,LA,71111,United States,U.S.A
Fabric Carousel,936-295-8322,Fabric Carousel,1101 12th st.,Huntsville,TX,77340,United States,U.S.A
Fashion Supplies Inc,213-749-5944,Fashion Supplies Inc,1203 South Olive St,Los Angeles,CA,90015,United States,U.S.A
Faye's Henhouse Quilts,701-786-3790,Faye's Henhouse Quilts,37 Center Ave. N,Mayville,ND,58257,United States,U.S.A
Fern Hill Gifts and Quilts,319-622-3627,Fern Hill Gifts and Quilts,103 220th Trail,South Amana,IA,52334,United States,U.S.A
From Past to Present,740-526-9371,From Past to Present,139 W. Main Street,St.Clairsville,OH,43950,United States,U.S.A
Gall Sewing & Vac Center,616-363-1911,Gall Sewing & Vac Center,3933 Plainfield N E,Grand Rapids,MI,49525,United States,U.S.A
GLACIER QUILTS,406-257-6966,Glacier Quilts,125 Hutton Ranch Road,KALISPELL,MT,59901,United States,U.S.A
Gone Quiltin at the Lake,903-432-4115,Gone quiltin at the Lake,906 South Tool Drive,Tool,TX,75143,United States,U.S.A
Grammie Oh So Sweet,318-469-5211,Grammie Oh So Sweet,706 N. Arkansas St.,Springhill,LA,71075,United States,U.S.A
Grammys Quilt Shop,715-587-9482,Grammys Quilt Shop,880 frontage road,Peshtigo,WI,54157,United States,U.S.A
H & W Fabric Company,864-421-4082,H & W Fabric Company,124 Paddock Drive,Greer,SC,29650,United States,U.S.A
Hannah's Quilts & Crafts,318-251-03149332,Hannah's Quilts & Crafts,402 St Peter Loop Road,Chourdrant,LA,71227,United States,U.S.A
Heart And Home Fabrics,801-979-6750,Heart And Home Fabrics,1992 Summerwood Dr.,Farmington,UT,84025,United States,U.S.A
Heartfelt Quilting & Sewing,863-299-3080,Heartfelt Quilting & Sewing,365 5th Street SW,Winter Haven,FL,33880,United States,U.S.A
Hinkletown Sewing,717 354 0204,Hinkle Town Sewing,232 Wanner Road,Ephrata,PA,17522,United States,U.S.A
Hobby Lobby Inc,(405) 745-1100,Hobby Lobby Inc. Warehouse,7707 S.W. 44th Street,Oklahoma City,OK,73179,United States,U.S.A
Homemaid Happiness,830-779-2151,Homemaid Happiness,2463 County Road 342,LaVernia,TX,78121,United States,U.S.A
"Hoover's  Bernina, LLC",570-966-3822,"Hoover's  Bernina, LLC",2282 Beaver Road,Mifflinburg,PA,17844,United States,U.S.A
Ill. State Taxable Sales,,,,,,,United States,U.S.A
J & M Vac & Sew,970-472-1822,J & M Vac & Sew,1737 S. College Ave,Ft. Collins,CO,80525,United States,U.S.A
Jo Jo's Quilt Shop,804-778-7566,Jo Jo's Quilt Shop,7056 Commons Plaza,Chesterfield,VA,23832,United States,U.S.A
Joya Distributing,541-773-4928,Joya Distributing,685 Market Street,Medford,OR,97504,United States,U.S.A
JQ Thailand Co LTD,66898168151,JQ Thailand Co LTD,270 Soi Chula 6 Wangmai Pathumwan,Bangkok,Thailand,10330,Thailand,Asia
Just Quilting,713-826-0562,Just Quilting,8014 Carvel Lane,Houston,TX,77036,United States,U.S.A
K and D Sales,260-868-1333,K and D Sales,303 N Broadway St.,Butler,IN,46721,United States,U.S.A
Kalamazoo Sewing Center,269-342-5808,Kalamazoo Sewing Center,5401 Portage Road,Portage,MI,49002,United States,U.S.A
Kalico Kat Quilt Shop,307-237-8458,Kalico Kat Quilt Shop,350 W. Collins Dr.,Casper,WY,82601,United States,U.S.A
Karen's Embroidery,775-246-7255,Karen's Embroidery,75 Laxalt Dr,Mound House,NV,89706,United States,U.S.A
Kay's Quilting & Frugal Fabrics,859-567-4188,Kay's Quilting & Frugal Fabrics,549 Campbell Road,Ghent,KY,41045,United States,U.S.A
KEEPSAKE QUILTING,603-253-8148,Keepsake Quilting,130 Whittier Hwy,Moultonborough,NH,3254,United States,U.S.A
Ken's Sewing Center,,Ken's Sewing Center,912  2nd  Street,Muscle Shoals,AL,35661,United States,U.S.A
Kramers Sew & Vac,513-891-5005,Kramers Sew & Vac,9907 Montgomery Rd,Cincinnati,OH,45242,United States,U.S.A
Kramer's Sew & Vac,513-891-5005,Kramer's Sew & Vac,9907 Montgomery Road,Cincinnati,OH,45242,United States,U.S.A
Lavender Quilts,435-213-5432,Lavender Quilts,174 E 700 N,Logan,UT,84321,United States,U.S.A
Lily Bella Fabrics,801-725-4862,Lily Bella Fabrics,808 Dakota Dr,Farmington,UT,84025,United States,U.S.A
Lori's Pins 'N Needles,217-465-5541,Lori's Pins'N Needles,1122 North Main Street,Paris,IL,61944,United States,U.S.A
LOU ANN'S FABRICS,(319) 283-5165,LOU ANN'S FABRICS,21 E. CHARLES ST.,OELWEIN,IA,50662,United States,U.S.A
LOVING STITCHES,910-630-3912,LOVING STITCHES,7076 Ramsey St,Fayetteville,NC,28311,United States,U.S.A
Luella's Quilt Shop,310-798-1282,Luella's Quilt Shop,1512 Auiation Blvd,Redondo Beach,CA,90278,United States,U.S.A
Maquinsa S.A.,506-2258-2247,1710 N.W. 96 Ave,,Miami,FL,33172,United States,U.S.A
MARY MAXIM,(810) 987-2000,Mary Maxim  Inc,2001 Holland Avenue,Port Huron,MI,48060,United States,U.S.A
"Massdrop, Inc",877-240-9434,"Massdrop, Inc",300 Nixon Lane,Edison,NJ,8837,United States,U.S.A
MEISSNER SEWING MACHINE COMPANY,916-920-2121,MEISSNER SEWING MACHINE COMPANY,2417 CORMORANT WAY,SACRAMENTO,CA,95815,United States,U.S.A
Michelle's Quilt's-N-Things,301-274-1919,Michelle's Quilt's-N-Things,8132 Old Lenardtown Road,Hughesville,MD,20637,United States,U.S.A
Midwest Sewing Center,316-262-3438,Midwest Sewing Center,111 Pattie Street,Wichita,KS,67211,United States,U.S.A
Moonshadow Quilt,360-457-1689,Moonshadow Quilt,352 Diamond Vista Drive,Port Angeles,WA,98363,United States,U.S.A
Moore's Sewing Center,,Moore's Sewing Center,22532 Avenida Empresa,Rancho Santa Margrita,CA,92688,United States,U.S.A
Moore's Sewing Center,502-966-2659,Moore's Sewing Center,4100 Outer Loop Drive,Louisville,KY,40219,United States,U.S.A
MOUNTAIN  PATCHWORK,406-822-3861,Mountain Patchwork,41 Hidden Meadows Lane,Superior,MT,59872,United States,U.S.A
Neal's Vacuum & Sewing Centers,563-263-4543,Neal's Vacuum & Sewing Centers,309 E. 2nd Street,Muscatine,IA,52761,United States,U.S.A
New England Quilt Supply,781-293-7600,New England Quilt Shop,158 Center Street,Pembrooke,MA,2359,United States,U.S.A
no longer in business,619-280-9387,Singer Service Center,4364 Twain Ave,San Diego,CA,92120,United States,U.S.A
Notions Marketing,616-243-8424,Notions Marketing,600 Cottage Grove,Grand RapidS,MI,49507,United States,U.S.A
Oh My Crafts,801-785-9091,Oh My Crafts,1489 W 105 N,Orem,UT,84057,United States,U.S.A
One Red Blossom,832-437-4207,One Red Blossom,25318 Springwood Lake Dr.,Katy,TX,77494,United States,U.S.A
Oregan Quilt Woman,541-881-1160,Oregan Quilt Woman,880 Railroad Ave.,Onterio,OR,97914,United States,U.S.A
"Patchwork Fabrics, Gifts & More",706-484-9900,"Patchwork Fabrics, Gifts & More",311 S. Jefferson Ave,Eatonton,GA,31024,United States,U.S.A
"Petersen-Arne (Vista Partners, Inc.)",541-485-1406,Petersen-Arne,4310 West Fifth Avenue,Eugene,OR,97402,United States,U.S.A
"Phillips Fiber Art, Inc",970-399-3565,"Phillips Fiber Art, Inc",120 E 2nd Street,Delta,CO,81416,United States,U.S.A
Pinery Patches,715-535-2277,Pinery Patches,N. 4647 Hwy 45,Tigerton,WI,54486,United States,U.S.A
Pins & Needles,440-243-6400,Pins & Needles,7535 Pearl Road,Middleburg Hts.,OH,44130,United States,U.S.A
Pinwheels & Posies,281-337-1213,Pinwheels & Posies,3335 Gulf Freeway,Dickinson,TX,77539,United States,U.S.A
Pleasant Mountain Stitchery,740-652-9688,Pleasant Mountain Stitchery,2229 W Fair Avenue,Lancaster,OH,43130,United States,U.S.A
Pollard's Sew Creative,626-335-2770,Pollard's Sew Creative,1934 E. Route 66,Glendora,CA,91740,United States,U.S.A
Porter's Stores Inc,208-359-0786,Porter's Stores Inc,19 College Ave,Rexburg,ID,83440,United States,U.S.A
Prarie Quilt,405-853-6801,Prarie Quilt,101 S. Main,Hennessey,OK,73742,United States,U.S.A
Precision Sewing Machine Co II,985-249-6156,Precision Sewing Machine Co II,3997 Hwy 190 Service Road,Covington,LA,70433,United States,U.S.A
Prints Charming,908-769-0278,Prints Charming,77 Greenbrook Road,N Plainfield,NJ,7063,United States,U.S.A
Quarter's Quarters,936-756-7200,Quilter's Quarters,3401 W. Davis #E,Conroe,TX,77304,United States,U.S.A
QUILT GALLERY,(406) 257-5799,QUILT GALLERY,1710 US HIGHWAY 93 S,KALISPELL,MT,59901-5727,United States,U.S.A
Quilt In A Day,760-591-0082,Quilt In A Day,1955 Diamond St,San Marcos,CA,92078,United States,U.S.A
QUILT 'N  SEW STUDIO,281-398-0670,QUILT 'N  SEW STUDIO,829 S Mason Road Ste #224,KATY,TX,77450,United States,U.S.A
QUILT NOOK INC.*,307-682-9196,QUILT NOOK INC.*,211 West 2nd Street,Gillette,WY,82716,United States,U.S.A
Quilt Rack Fabrics,940-365-2098,Quilt Rack Fabrics,801 Squires Ln.,Aubrey,TX,76227,United States,U.S.A
Quilted Treasures of Rogers,763-428-1952,Quilted Treasures of Rogers,14178 Northdale Blvd,Rogers,MN,55374,United States,U.S.A
QUILTERS ALLEY,(270) 443-5673,QUILTERS ALLEY,420 NORTH 4TH ST.,PADUCAH,KY,42001-0756,United States,U.S.A
Quilter's Coop,951-694-3600,Quilter's Coop,28677 Old Town Front St.,Temecula,CA,92590,United States,U.S.A
Quilters Cottage,281-633-9331,Quilters Cottage,920 FM 359,Richmond,TX,77406,United States,U.S.A
"Quilters' Emporium NH, LLC",603-654-7311,"Quilters' Emporium NH, LLC",P O Box 651,Wilton,NH,3086,United States,U.S.A
Quilters Headquarters,605-334-1611,Quilters Headquarters,1508 W 41st Street,Sioux Falls,SD,57105,United States,U.S.A
"Quilter's Paradise,Inc",559-297-7817,"Quilter's Paradise, Inc",339 Pollasky,Clovis,CA,93612,United States,U.S.A
Quilter's Quarters and Bernina Too,928-634-8161,Quilter's Quarters and Bernina Too,51 Verde Heights Dr,Cottonwood,AZ,86326,United States,U.S.A
Quilter's Square,859-278-5010,Quilter's Square,140 Moore Drive,Lexington,KY,40503,United States,U.S.A
"Quilter's Studio of Loveland, LLC",513-683-3666,"Quilter's Studio of Loveland, LLC",434 W. Loveland Ave.,Loveland,OH,45140,United States,U.S.A
"Quilters""Choice",619-425-2545,Quilters Choice,417 3rd Ave,Chula Vista,CA,91910,United States,U.S.A
Quilting Quest,336-243-7209,Quilting Quest,110-D Cotton Grove Rd,Lexington,NC,27292,United States,U.S.A
Quiltmaker,707-252-6793,Quiltmaker,1275 Napa Town Center,Napa,CA,94559,United States,U.S.A
"Quiltn Nana Creations, Inc.",813-685-6513,"Quiltn Nana Creations, Inc.",3608 Sugarloaf Lane,Valrico,FL,33596,United States,U.S.A
Quilts At The Marshall House,269-781-9450,Quilts At The Marshall House,100 Exchange Street,Marshall,MI,49068,United States,U.S.A
Quilts Ole',505-890-9416,Quilts Ole',3823 Carrales Road,Carrales,NM,87048,United States,U.S.A
QUILTS-N-BLOOM*,812-768-6009,Quilts n' Bloom,879 West 1000 South,Haubstadt,IN,47639,United States,U.S.A
QuiltWorks,541-758-0527,QuiltWorks,926 NE Greenwood Ave. Ste. B,Bend,OR,97701,United States,U.S.A
Quiltworks of TX,832-524-4793,Quiltworks,"25250 N W Freeway , #140",Cypress,TX,77429,United States,U.S.A
Ralph's Sewing & Vacuum,760-568-2226,Ralph's Sewing & Vacuum,73941 Highway 111,Palm Desert,CA,92260,United States,U.S.A
RGA Design,435-723-7288,RGA Design,1141 Beecher Ave,Brigham City,UT,84302,United States,U.S.A
Rocky Mountain ELE Quilting & Sewing,801-566-3812,Rocky Mountain Quilting & Sewing,8740 South 700 East,Sandy,UT,84070,United States,U.S.A
Rocky Mountain Quilting SLC,801-566-3812,Rocky Mountain Quilting SLC,8740 South 700 East,Sandy,UT,84070,United States,U.S.A
Room To Learn,208-922-1906,Room To Learn,62 E Wythe creek Court,Kuna,ID,83634,United States,U.S.A
"Rosie's Calico Cupboard, Inc",619-697-5758,"Rosie's Calico Cupboard, Inc","7151 El Cajon Blvd, Suite F",San Diego,CA,92115,United States,U.S.A
Rossville Quilts & Bernina,765-379-2900,Rossville Quilts & Bernina,356 West Main Street,Rossville,IN,46065,United States,U.S.A
Rubenstein & Ziff/ The Quiltworks,952-854-1460,Rubenstein & Ziff/ The Quiltworks,1055 American Blvd East,Minneapolis,MN,55420,United States,U.S.A
San Sew Fine,281-350-3043,San Sew Fine,3202 Wildcandle,Spring ,TX,77388,United States,U.S.A
Sandi's Sewing Connection,319-752-2226,Sandi's Sewing Connection,219 West Mt Pleasant,West Burlington,IA,52655,United States,U.S.A
Scissortail Fabrics,405-389-3965,Scissortail Fabrics,513 Joni DeAnne Ct,Edmond,OK,73034-3033,United States,U.S.A
Seasons Of Home,509-654-1818,Seasons Of Home,6 South 200 West,Midway,UT,84049,United States,U.S.A
Sew E-Z Inc,758-488-9449,Sew E-Z Inc,4801 VIRGINIA BEACH BLVD,VIRGINIA BEACH,VA,23462,United States,U.S.A
Sew Irresistible,250-878-0023,Sew Irresistible,2104 B Rainbow DR,Gadsden,AZ,35901,United States,U.S.A
Sew Vac City Inc,979-693-6592,Sew Vac City Inc,3800 SH Hwy 6 South,College Station,TX,77845,United States,U.S.A
Sew Worth It,941-924-5600,Sew Worth It,5507 Palmer Crossing Circle,Sarasota,FL,34233,United States,U.S.A
"Sewing World  of Grapevine, Inc.",817-488-9514,"Sewing World  of Grapevine, Inc.",1111 W. Northwest Hwy,Grapevine,TX,76051,United States,U.S.A
SewingMachinesPlus.com,760-739-8222,SewingMachinesPlus.com,713 Center Drive,San Marcos,CA,92069,United States,U.S.A
Sewphisticated Inc.,352-483-0082,Sew-Mini Things,3820 N Hwy 19A,Mt Dora,FL,32757,United States,U.S.A
Shing wholesale,801-274-0525,Shing wholesale,6333 South Highland Dr.,Holliday,UT,84121,United States,U.S.A
Singer Sewing Center of TX,361-991-5151,Singer Sewing of Corpus Christi TX,6034 S Padre Island Dr,Corpus Christi,TX,78412,United States,U.S.A
SL Taylor & Assoc./ Sandys Sewing Center,509-901-7792,Sandys Sewing Center,404 W. Chestnut Ave.,Yakima,WA,98902,United States,U.S.A
Sneed's Vacuum & Sewing Ctr,304-744-3670,Sneed's Vacuum & Sewing Center,2614 7th Avenue,Charleston,WV,25312,United States,U.S.A
Something Different,410-398-4032,Something Different,536 Black Snake  Road,Elkton,MD,21921,United States,U.S.A
Southernfabric.com,478-387-6141,Southernfabric.com,236 High Point Road,Milledgeville,GA,31061,United States,U.S.A
Square in a Square,859-223-1892,Square in a Square,4144 Palomar Blvd,Lexington,KY,40513,United States,U.S.A
SRK Quilts,575-405-2665,SRK Quilts,5825 Habanero Dr,Las Cruces,NM,88012,United States,U.S.A
Steelman Inc.,405 224 2036,Steelman Inc.,410 Chickasha Ave,Chickasha,OK,73018,United States,U.S.A
Stitch On needlework Shop,785-842-1101,Stitch On needlework Shop,926 Massachusettts st,Lawrence,KS,66044,United States,U.S.A
Stitches From the Attic,907-822-4369,Stitches From the Attic,Mile 101 Old Richardson Hwy,Copper Center,AK,99573,United States,U.S.A
Stitches from the Heart,865-717-1225,Stitches from the Heart,228 Pleasant Hill Road,Philidelphia,TN,37846,United States,U.S.A
Stitch-N-Frame,601-634-0242,Stitch-N-Frame,31 Willow Creek Dr.,Vicksburg,MS,39183,United States,U.S.A
Sue Pelland Designs,508-736-2447,Sue Pelland Designs,4 Rockdale Hill Circle,Upton,MA,1568,United States,U.S.A
Sue Sews,218 861 6058,Sue Sews,304 Main St,Hendrum,MN,56550,United States,U.S.A
Susie Q's Quilt Shop,239-656-2722,Susie Q's Quilt Shop,1890 N. Tamiami Trail,N. Ft Myers,FL,33903,United States,U.S.A
SVP Sewing Inc,440-808-6565 (Doug),Singer Sewing,1217 Heil Quaker Blvd,LaVergne,TN,37086,United States,U.S.A
Sweats By Deb,260-657-3271,Sweats By Deb,20612 Notestine Road,Woodsburn,IN,46797,United States,U.S.A
Tacony Corporation,,Tacony Corporation,1760 Gilsinn Lane,Fenton,MO,63026,United States,U.S.A
Taperns,608-365-2613,Taperns,2512 Camelot Ct.,Beloit,WI,53511,United States,U.S.A
Texas Quilt Machines,281-793-1777,Texas Quilt Machines,2311 Sciaaca Road,Spring,TX,77373,United States,U.S.A
Texas Sew Wares Inc  DBA  SVD,979-431-0898,Sew Vac Direct,700 South Bryan Ave,Bryan,TX,77803,United States,U.S.A
The Backroom Quilter,703-527-6983,The Backroom Quilter,504-B N. Thomas Street,Arlington,VA,22203,United States,U.S.A
The Cottage Quilt Shop,828-632-1660,The Cottage Quilt Shop,100  South Center Street,Taylorsville,NC,28681,United States,U.S.A
The Cotton Quilt,828-726-6786,TThe Cotton Quilt,4900 Troy Road,Granite Falls,NC,28630,United States,U.S.A
The Fabric Shop,318-251-2400,The Fabric Shop,100 Park Avenue,Ruston,LA,71270,United States,U.S.A
The Fabric Store,409-729-5288,The Fabric Store,1605 S Hwy #69,Nederland,TX,77627,United States,U.S.A
The Grace Company,801-485-6688,The Grace Company,2225 South 3200 West,Salt Lake City,UT,84119,United States,U.S.A
The Old Craft Store,972-242-9111,The Old Craft Store,1110 W. Main St.,Carrollton,TX,75006,United States,U.S.A
The Old Craft Store,972-242-9111,The Old Craft Store,1110 W. Main St.,Carrollton,TX,75006,United States,U.S.A
The Pincushion,810-724-7065,The Pincushion,113 E. 3rd Street,Imlay City,MI,48444,United States,U.S.A
The Quilt Place,321-632-3344,The Quilt Place,575 Barton Blvd,Rockledge,FL,32955,United States,U.S.A
The Quilted Button,949-241-6349,TThe Quilted Button,21062 Redwood Lane,Mission viejo,CA,92691,United States,U.S.A
The Quilter's Shack,931-306-3204,The Quilter's Shack,1220 Columbia Hwy,Hohenwald,TN,38462,United States,U.S.A
The Quilting Cottage,801-636-9686,The Quilting Cottage,51 S. 100 E.,American Fork,UT,84003,United States,U.S.A
The Sew N Sew,676-852-2223,The Sew N Sew,160 N.Glendora Ave,Glendora,CA,91741,United States,U.S.A
The Sewing Bird,321-352-4477,The Sewing Bird,321 Nelson Road,Frankfort,MI,49635,United States,U.S.A
The Sewing Center,605-348-1010,The Sewing Center,120 Knollwood Drive Suite A,Rapid City,SD,57701,United States,U.S.A
The Sewing Palace Bernina,406-443-5724,The Sewing Palace,1103 Helena Ave,Helena ,MT,59601,United States,U.S.A
"The Sewing Studio, Inc.",272-632-5700,"The Sewing Studio, Inc.",1310 Memorial Blvd. S.,Martinsville,VA,24112,United States,U.S.A
The Squirrel's Nest,520-417-1070,The Squirrel's Nest,4049 E Camino Principal,Sierra Vista,AZ,85650,United States,U.S.A
THE STITCHING POST INC*,405-495-4699,THE STITCHING POST INC*,5928 NW 16th,Oklahoma City,OK,73127,United States,U.S.A
The Vacuum Store,615-740-8774,The Vacuum Store,215 Beasley Drive,Dickson,TN,37055,United States,U.S.A
The Woman Shop,254-2374-8376,The Woman Shop,P.O. Box 39482-00623,Nairobi ,PR,623,Kenya,Africa
"Thimble Dots, Inc.",801-369-8217,"Thimble Dots, Inc.",351 River Rd,Alpine,UT,84004,United States,U.S.A
Thimbleina LLC,512-965-0506,Thimbleina LLC,312 County Road 420,Spicewood,TX,78669,United States,U.S.A
Thimbles,205-682-6008,Thimbles,"3780 Riverchase Villiage, Suite 600",Hoover,AL,35244,United States,U.S.A
This 'N That - TX,979-776-0041,This 'N That,2711 Rusting Oaks Drive,Bryan,TX,77802,United States,U.S.A
This 'N' That- MO,816-387-6088,This 'N' That,115 E Vermont ST,King City,MO,64463,United States,U.S.A
"Thomas Sewing Center, Inc.",972-681-3996,Thomas Sewing Center,"18775 LBJ Freeway, Suite 200",Mesquite,TX,75150,United States,U.S.A
TJAYE  LLC,425-372-8081,TJAYE  LLC,4541 WINNEQUAH ROAD,MONONA,WI,53716,United States,U.S.A
Tony's Sewing Machines,207-283-3033,Tony's Sewing Machines,"20 Edwards Ave, Suite 1",Biddeford,ME,4005,United States,U.S.A
